year,C1 EROI freeze,C2 R/P stabilises,C3 Demand plateau,C4 All frozen,Pessimistic,Central,Optimistic
1980,100.000,100.000,100.000,100.000,100.000,100.000,100.000
1981,94.205,94.205,94.205,94.205,94.205,94.205,94.205
1982,88.388,88.388,88.388,88.388,88.388,88.388,88.388
1983,91.059,91.059,91.059,91.059,91.059,91.059,91.059
1984,97.686,97.686,97.686,97.686,97.686,97.686,97.686
1985,97.255,97.255,97.255,97.255,97.255,97.255,97.255
1986,105.471,105.471,105.471,105.471,105.471,105.471,105.471
1987,148.457,148.457,148.457,148.457,148.457,148.457,148.457
1988,126.842,126.842,126.842,126.842,126.842,126.842,126.842
1989,132.079,132.079,132.079,132.079,132.079,132.079,132.079
1990,125.202,125.202,125.202,125.202,125.202,125.202,125.202
1991,128.105,128.105,128.105,128.105,128.105,128.105,128.105
1992,131.334,131.334,131.334,131.334,131.334,131.334,131.334
1993,135.030,135.030,135.030,135.030,135.030,135.030,135.030
1994,142.974,142.974,142.974,142.974,142.974,142.974,142.974
1995,153.800,153.800,153.800,153.800,153.800,153.800,153.800
1996,164.613,164.613,164.613,164.613,164.613,164.613,164.613
1997,175.298,175.298,175.298,175.298,175.298,175.298,175.298
1998,184.199,184.199,184.199,184.199,184.199,184.199,184.199
1999,187.613,187.613,187.613,187.613,187.613,187.613,187.613
2000,208.094,208.094,208.094,208.094,208.094,208.094,208.094
2001,207.877,207.877,207.877,207.877,207.877,207.877,207.877
2002,213.688,213.688,213.688,213.688,213.688,213.688,213.688
2003,200.648,200.648,200.648,200.648,200.648,200.648,200.648
2004,217.826,217.826,217.826,217.826,217.826,217.826,217.826
2005,233.218,233.218,233.218,233.218,233.218,233.218,233.218
2006,244.152,244.152,244.152,244.152,244.152,244.152,244.152
2007,256.779,256.779,256.779,256.779,256.779,256.779,256.779
2008,268.565,268.565,268.565,268.565,268.565,268.565,268.565
2009,259.098,259.098,259.098,259.098,259.098,259.098,259.098
2010,286.637,286.637,286.637,286.637,286.637,286.637,286.637
2011,288.138,288.138,288.138,288.138,288.138,288.138,288.138
2012,302.869,302.869,302.869,302.869,302.869,302.869,302.869
2013,299.504,299.504,299.504,299.504,299.504,299.504,299.504
2014,326.882,326.882,326.882,326.882,326.882,326.882,326.882
2015,358.576,358.576,358.576,358.576,358.576,358.576,358.576
2016,371.891,371.891,371.891,371.891,371.891,371.891,371.891
2017,382.373,382.373,382.373,382.373,382.373,382.373,382.373
2018,423.924,423.924,423.924,423.924,423.924,423.924,423.924
2019,438.935,438.935,438.935,438.935,438.935,438.935,438.935
2020,414.122,414.122,414.122,414.122,414.122,414.122,414.122
2021,480.989,480.989,480.989,480.989,480.989,480.989,480.989
2022,538.321,538.321,538.321,538.321,538.321,538.321,538.321
2023,611.616,611.616,611.616,611.616,611.616,611.616,611.616
2024,613.517,628.932,611.478,606.122,649.341,623.916,592.802
2025,621.019,652.805,617.060,606.122,696.243,642.433,579.861
2026,628.628,677.803,622.877,606.122,747.212,661.713,567.285
2027,636.346,703.992,628.943,606.122,802.687,681.799,555.060
2028,644.175,731.445,635.271,606.122,863.161,702.736,543.175
2029,652.117,760.239,641.874,606.122,929.201,724.574,531.615
2030,660.173,790.456,648.769,606.122,1001.450,747.365,520.370
2031,668.344,822.188,655.971,606.122,1080.649,771.167,509.429
2032,676.634,855.531,663.499,606.122,1233.119,796.040,498.781
2033,685.043,890.590,671.371,606.122,1412.000,822.052,488.416
2034,693.573,927.479,679.608,606.122,1622.895,849.273,478.324
2035,702.227,966.321,688.233,606.122,1872.852,877.783,468.495
2036,711.005,1007.252,697.270,606.122,2170.810,907.666,458.922
2037,719.911,1073.335,722.165,606.122,2528.209,959.501,449.595
2038,728.945,1157.424,756.871,606.122,2959.839,1026.419,440.507
2039,738.110,1249.673,794.225,606.122,3485.028,1099.387,431.649
2040,747.407,1351.049,834.500,606.122,3632.363,1179.092,423.015
2041,756.840,1462.660,878.004,606.122,3786.084,1266.316,414.596
2042,766.409,1585.775,925.086,606.122,3946.473,1361.954,406.386
2043,776.117,1721.852,976.144,606.122,4113.826,1467.029,398.378
2044,785.966,1872.573,1031.632,606.122,4288.449,1582.719,390.567
2045,795.959,2039.886,1092.067,606.122,4470.664,1710.382,382.946
2046,806.097,2226.049,1158.047,606.122,4660.809,1851.587,375.509
2047,816.382,2433.699,1230.259,606.122,4859.235,2008.161,368.250
2048,826.817,2665.919,1309.498,606.122,5066.308,2182.231,361.164
2049,837.404,2926.330,1396.689,606.122,5282.413,2376.289,354.246
2050,848.146,3139.330,1455.869,606.122,5507.951,2528.919,347.491
