test,name,rho_raw,rho_partial_GDP,rho_partial_M2,rho_partial_both,verdict
P1,Energy CPI,0.9188,0.0126,0.1684,0.0205,ABSORBED
P1,Food,0.8844,-0.1111,-0.0039,-0.1276,ABSORBED
P1,Fertiliser,0.8026,0.1401,0.1706,0.1305,ABSORBED
P1,Real Wages,0.9106,-0.4077,0.1393,-0.3059,SURVIVES
P2,Internet users %,0.9382,0.5107,,0.4433,residual trend
P2,Urbanisation %,0.9877,0.3924,,0.2658,OK
P2,Adult literacy %,0.9592,-0.5143,,-0.4377,residual trend
P3,Energy CPI,0.9188,0.9096,,-0.0092,E-only matches
P3,Food,0.8844,0.8701,,-0.0144,E-only matches
P3,Fertiliser,0.8026,0.7901,,-0.0125,E-only matches
P3,Real Wages,0.9106,0.9143,,+0.0038,E-only matches
